question,answer,default,next_question,note
Do you wish to output [e]nglish or [m]etric units for the average annual summary output file? Enter [e] or [m] --> [m]etric default,e,,Do you wish to use an existing hillslope pass file?,
Do you wish to output [e]nglish or [m]etric units for the average annual summary output file? Enter [e] or [m] --> [m]etric default,m,x,Do you wish to use an existing hillslope pass file?,
Do you wish to use an existing hillslope pass file?,Y,,Enter name of existing hillslope pass file -->,
Do you wish to use an existing hillslope pass file?,N,x,,
Enter name of existing hillslope pass file -->,text,,,checks for file
Do you want initial condition scenario output (Y/N)? [N] -->,Y,,Enter initial condition scenario output file name -->,
Do you want initial condition scenario output (Y/N)? [N] -->,N,x,Enter file name for soil loss output -->,
Enter file name for soil loss output -->,text,,Do you want water balance output (Y/N)? [N] -->,
Do you want water balance output (Y/N)? [N] -->,Y,,Enter file name for water balance output -->,
Do you want water balance output (Y/N)? [N] -->,N,x,Do you want crop output (Y/N)? [N] -->,
Enter file name for water balance output -->,text,,Do you want crop output (Y/N)? [N] -->,
Do you want crop output (Y/N)? [N] -->,Y,,Enter file name for plant output -->,
Do you want crop output (Y/N)? [N] -->,N,x,Do you want soil output (Y/N)? [N] -->,
Enter initial condition scenario output file name -->,text,,Enter file name for soil loss output -->,
Enter file name for plant output -->,text,,Do you want soil output (Y/N)? [N] -->,
Do you want soil output (Y/N)? [N] -->,Y,,Enter file name for soil output -->,
Do you want soil output (Y/N)? [N] -->,N,x,,
Enter file name for soil output -->,text,,Do you want distance and sediment loss output (Y/N)? [N] -->,
Do you want distance and sediment loss output (Y/N)? [N] -->,Y,,Enter file name for plotting output -->,
Do you want distance and sediment loss output (Y/N)? [N] -->,N,x,,
Enter file name for plotting output -->,text,,Do you want large graphics output (Y/N)? [N] -->,
Do you want large graphics output (Y/N)? [N] -->,Y,,Enter file name for large graphics output --> ,
Do you want large graphics output (Y/N)? [N] -->,N,x,Enter file name for large graphics output --> ,
Enter file name for large graphics output --> ,text,,Do you want event by event output (Y/N)? [N] -->,
Do you want event by event output (Y/N)? [N] -->,Y,,Enter file name for event by event summary -->,
Do you want event by event output (Y/N)? [N] -->,N,x,,
Enter file name for event by event summary -->,text,,Do you want element output (Y/N)? [N] -->,
Do you want element output (Y/N)? [N] -->,Y,,Enter file name for variable OFE line summary -->,
Do you want element output (Y/N)? [N] -->,N,x,,
Enter file name for variable OFE line summary -->,text,,Do you want final summary output (Y/N)? [N] -->,
Do you want final summary output (Y/N)? [N] -->,Y,,Enter file name for final summary file -->,
Do you want final summary output (Y/N)? [N] -->,N,x,,
Enter file name for final summary file -->,text,,Do you want daily winter output (Y/N)? [N] --> ,
Do you want daily winter output (Y/N)? [N] -->,Y,,Enter file name for daily winter output -->,
Do you want daily winter output (Y/N)? [N] -->,N,x,,
Enter file name for daily winter output -->,,,Do you want plant yield output (Y/N)? [N] -->,
Do you want plant yield output (Y/N)? [N] -->,Y,,Enter file name for plant yield outputs -->,
Do you want plant yield output (Y/N)? [N] -->,N,x,,
Enter file name for plant yield outputs -->,text,,Enter name of file containing management data --> ,
Enter name of file containing management data --> ,text,,,END
